x [m],y [m],z [m],distance [m],max distance [m]
-997.146,4248592.644,5.798149,151.254392,
-996.705,4248592.444,5.791177,151.739240,
-996.263,4248592.244,5.784509,152.224084,
-995.822,4248592.043,5.778532,152.708918,
-995.381,4248591.843,5.774765,153.193731,
-994.939,4248591.642,5.773331,153.678530,
-994.498,4248591.441,5.770679,154.163335,
-994.057,4248591.240,5.767168,154.648146,
-993.616,4248591.039,5.764193,155.132953,
-993.175,4248590.838,5.758841,155.617780,
-992.734,4248590.637,5.751825,156.102628,
-992.293,4248590.435,5.745648,156.587466,
-991.852,4248590.233,5.736826,157.072343,
-991.411,4248590.031,5.724410,157.557300,
-990.971,4248589.829,5.711080,158.042281,
-990.530,4248589.626,5.697697,158.527264,
-990.090,4248589.424,5.684343,159.012245,
-989.650,4248589.221,5.670919,159.497229,
-989.209,4248589.017,5.657700,159.982207,
-988.769,4248588.814,5.644416,160.467186,
-988.330,4248588.610,5.629827,160.952203,
-987.890,4248588.406,5.614604,161.437240,
-987.450,4248588.201,5.599648,161.922268,
-987.011,4248587.996,5.584242,162.407311,
-986.572,4248587.791,5.569698,162.892327,
-986.133,4248587.585,5.557773,163.377271,
-985.694,4248587.379,5.547305,163.862182,
-985.255,4248587.173,5.540049,164.347034,
-984.817,4248586.966,5.539081,164.831832,
-984.378,4248586.759,5.541170,165.316635,
-983.940,4248586.552,5.544808,165.801446,
-983.502,4248586.343,5.551279,166.286287,
-983.065,4248586.135,5.557698,166.771127,
-982.627,4248585.926,5.562488,167.255948,
-982.190,4248585.716,5.567550,167.740772,
-981.753,4248585.507,5.572242,168.225593,
-981.316,4248585.296,5.575547,168.710402,
-980.880,4248585.085,5.577885,169.195205,
-980.444,4248584.874,5.578917,169.680004,
-980.008,4248584.662,5.578756,170.164802,
-979.572,4248584.450,5.579645,170.649600,
-979.136,4248584.237,5.581602,171.134402,
-978.701,4248584.024,5.583298,171.619202,
-978.265,4248583.811,5.584897,172.104003,
-977.830,4248583.597,5.586591,172.588803,
-977.395,4248583.383,5.588299,173.073604,
-976.960,4248583.169,5.589862,173.558404,
-976.525,4248582.954,5.591556,174.043205,
-976.091,4248582.740,5.593728,174.528008,
-975.656,4248582.525,5.594147,175.012806,
-975.222,4248582.310,5.592201,175.497607,
-974.787,4248582.094,5.590639,175.982407,
-974.353,4248581.879,5.588483,176.467210,
-973.919,4248581.663,5.584927,176.952021,
-973.485,4248581.447,5.582784,177.436823,
-973.051,4248581.232,5.581098,177.921624,
-972.616,4248581.016,5.577774,178.406433,
-972.182,4248580.800,5.574186,178.891244,
-971.748,4248580.584,5.570945,179.376052,
-971.314,4248580.368,5.567668,179.860861,
-970.880,4248580.152,5.564110,180.345672,
-970.446,4248579.936,5.560882,180.830480,
-970.012,4248579.720,5.558998,181.315282,
-969.578,4248579.505,5.557576,181.800082,
-969.144,4248579.289,5.555859,182.284882,
-968.709,4248579.073,5.554019,182.769684,
-968.275,4248578.858,5.552693,183.254483,
-967.841,4248578.643,5.551161,183.739283,
-967.406,4248578.428,5.546809,184.224101,
-966.972,4248578.213,5.541737,184.708925,
-966.537,4248577.998,5.538469,185.193733,
-966.102,4248577.784,5.535365,185.678541,
-965.667,4248577.569,5.531919,186.163351,
-965.233,4248577.355,5.528560,186.648160,
-964.798,4248577.141,5.525312,187.132969,
-964.363,4248576.927,5.521904,187.617779,
-963.927,4248576.713,5.518297,188.102590,
-963.492,4248576.500,5.515943,188.587393,
-963.057,4248576.286,5.514392,189.072193,
-962.622,4248576.073,5.511402,189.557000,
-962.186,4248575.859,5.507646,190.041813,
-961.751,4248575.646,5.504353,190.526622,
-961.316,4248575.433,5.502148,191.011424,
-960.880,4248575.220,5.501145,191.496223,
-960.444,4248575.007,5.501175,191.981021,
-960.009,4248574.794,5.501754,192.465819,
-959.573,4248574.582,5.500927,192.950617,
-959.138,4248574.369,5.497538,193.435427,
-958.702,4248574.156,5.493881,193.920238,
-958.266,4248573.944,5.490673,194.405047,
-957.830,4248573.732,5.487363,194.889856,
-957.394,4248573.519,5.483904,195.374666,
-956.959,4248573.307,5.480640,195.859474,
-956.523,4248573.095,5.477659,196.344281,
